Mean,Stdev,TERM1,TERM2,CUI1,CUI2
523,280.733562890748,cirrosi,multivitamine,C1623038,C0301532
798,453.983112754942,attacchi,carbamazepina,C0036572,C0006949
391,306.007625177326,cataratta,insulina,C0086543,C0021641
897,322.615354046683,anemia,reticolocitosi,C0002871,C0206160
844,405.724044148236,convulsioni,carbamazepina,C0036572,C0006949
755,446.954136349581,osteoporosi,prednisolone,C0029456,C0032950
1001.75,232.320719408895,attacchi,fenitoina,C0036572,C0031507
933.75,363.236722629564,aglio,oli di pesce,C0885057,C0016157
921.5,471.333215464389,dislipidemia,oli di pesce,C0242339,C0016157
725.5,396.871515732737,fibrillazione,stenocardia,C0232197,C0002962
1154.5,185.081063320914,cefoxitina,ceftriaxone,C0007557,C0007561
582.75,253.415830865661,sordità,atassia,C0011053,C0004134
1078.75,149.969719165792,penicillina,cefazolina,C0030842,C0007546
1155.25,507.809265374314,diabete,insulina,C0011847,C0021641
382,374.556626782476,emocromatosi,anosmia,C0018995,C0003126
398,351.069793630839,ischemia,dolore intermestruale,C0022116,C0152149
406.75,298.650715719886,pallore,aspirina,C0030232,C0004057
367.75,309.718555035589,otalgia,coronamento,C0013456,C0233212
475.25,195.071568063279,herpes nas,colestasi,C0019340,C0008370
889.5,338.481412586669,dislipidemia,colestiramina,C0242339,C0008402
256.25,51.2924620842738,rabbia,acne,C0034494,C0702166
816.25,403.524782386411,peste,adenite,C0032064,C0001416
743,442.165127525905,alcooli,disulfiram,C0001975,C0012772
578.5,357.619443915829,codeina,nalossone,C0009214,C0027358
1019.75,98.1270435031376,warfarina,aspirina,C0043031,C0004057
829.25,343.908296885473,vancomicina,glipizide,C0042313,C0017642
791.25,381.811799189077,coccidiosi,meningite,C0009187,C0025289
638.25,320.049345153733,pallore,warfarina,C0030232,C0043031
231.25,171.083556583715,aneurisma,osteoporosi,C0002940,C0029456
823.75,408.620749187638,ischemia,metoprololo,C0022116,C0025859
727.5,309.259869149986,flatulenza,glucagone,C0016204,C0017687
1323,259.292627482284,cefazolina,cefalexina,C0007546,C0007716
240.75,152.75770575217,osteoporosi,trombo,C0029456,C0087086
1037.75,139.960411069226,encefalite,meningite,C0014038,C0025289
450,319.13737898696,emofilia,tromboembolia,C0684275,C0040038
1091,226.774484161395,artrite,artralgia,C0003864,C0003862
342.5,351.717215956228,secrezione uretrale,tremore,C0152447,C0040822
662.75,464.621978960674,anovulazione,carboplatino,C0003128,C0079083
377.5,174.628176420645,albumine,eparina,C0001924,C0019134
766.75,430.442698470617,poliuria,insulina,C0032617,C0021641
492.75,388.753027855304,russare,stridore,C0037384,C0038450
194.75,115.5115434347,psoriasi,carvedilolo,C0033860,C0054836
191.25,118.957625508694,emorroidi,infertilità,C0019112,C0021359
940.75,349.887005569893,epilessia,fenobarbital,C0014544,C0031412
566.75,408.847465444021,epilessia,alcooli,C0014544,C0001975
221.25,142.007922314215,psoriasi,spasmo,C0033860,C0037763
242,163.076669085434,russare,loperamide,C0037384,C0023992
510.25,415.864060320998,arteriosclerosi,colestiramina,C0003850,C0008402
358,128.781468646179,mielosoppressione,russare,C0854467,C0037384
959.25,323.230954582014,pneumonite,setticemia,C0032285,C0036690
237.75,37.7657252015634,ernia,demenza,C0019270,C0497327
1012.25,81.9852629033617,ematemesi,sintomi di nausea e vomito,C0018926,C0027498
1206.25,216.105491215132,artralgia,dolore,C0003862,C0030193
270.25,175.235793527844,tiroxina,lidocaina,C0040165,C0023660
833.75,409.986483517038,pneumonite,dispnea,C0032285,C0013404
776.75,425.083815264708,bandemia,meningismo,C0741439,C0025287
276,163.747773521759,glaucoma,fibrillazione,C0017601,C0232197
893.25,587.007311141295,mal di mare,mal d'auto,C0036494,C0007297
317.5,93.186193541032,artralgia,dita ippocratiche,C0003862,C0149651
169,118.380741677014,emofilia,glipizide,C0684275,C0017642
212.5,181.071808959871,disuria,clopidogrel,C0013428,C0070166
294.5,62.878189117266,sforzo insufficiente,virilismo,C0231236,C0042755
340.5,121.008264180592,aneurisma,sulfadiazina argentica,C0002940,C0947651
851.25,123.634879113191,colchicina,prednisolone,C0009262,C0032950
418,292.102721657981,ernia,carbidopa,C0019270,C0006982
396.5,241.311002650107,sovranutrizione,attacchi,C1257763,C0036572
307.5,170.99805067115,cataratta,pancreatite,C0086543,C0030305
1265.5,323.169202328027,etanolo,alcooli,C0001962,C0001975
792.25,514.45853412431,ipertiroidismo,attacchi,C0020550,C0036572
1058.75,56.4232517082571,esmololo,amiodarone,C0116569,C0002598
853.5,442.327555852749,infertilità,carboplatino,C0021359,C0079083
763.5,407.15721779185,artralgia,nevralgia,C0003862,C0027796
477.75,396.455440959847,anossemia,propofol,C0003129,C0033487
617.75,570.736585475296,intontito,atenololo,C0012833,C0004147
749.5,363.543211553546,pancreatite,insulina,C0030305,C0021641
351.75,122.568008332789,gastroenterite,insulina,C0017160,C0021641
343,136.521060646334,leucopenia,cefacloro,C0023530,C0007537
290,86.3519928355256,istoplasmosi,prednisolone,C0019655,C0032950
477.25,376.183798162547,neuropatia,costipazione,C0442874,C0009806
930.75,311.859343294377,dita ippocratiche,dispnea,C0149651,C0013404
704.5,499.521437644739,emiplegia,clopidogrel,C0018991,C0070166
300.5,123.796876643422,micosi,atorvastatina,C0026946,C0286651
775.25,402.881599646017,reumatismi,colchicina,C0035435,C0009262
384,414.723200862133,dispnea,penicillina,C0013404,C0030842
1040.25,575.466984283199,cirrosi,ematemesi,C1623038,C0018926
748.75,323.256734913082,emicefalea,cefalee,C0877781,C0018681
767,323.651046653645,loperamide,bisacodil,C0023992,C0005632
1186.5,156.866185011302,lentezza,fatica,C0920289,C0015672
869.5,428.539768671862,cardiomiopatie,sincope,C0878544,C0039070
748,386.999569336539,anossemia,attacchi,C0003129,C0036572
646,314.658545092931,mal di mare,etanolo,C0036494,C0001962
239,152.750340970705,dislipidemia,gluconato ferroso,C0242339,C0060277
231.5,177.659787233915,talassemia,tremore,C0039730,C0040822
869.25,452.76732435104,convulsioni,amfebutamone,C0036572,C0085208
398.75,407.532718522902,stenocardia,norepinefrina,C0002962,C0028351
792.75,383.341775269363,miosite,metilprednisolone,C0027121,C0025815
558.25,299.968192758277,anovulazione,dolore intermestruale,C0003128,C0152149
855.25,433.002213235298,otalgia,amoxicillina,C0013456,C0002645
253.5,233.308808234923,ischemia,aloe vera,C0022116,C0995182
737.25,374.577428577858,bronchite,singulair,C0006277,C0298130
1174.75,116.971150289291,atorvastatina,lovastatina,C0286651,C0024027
633.75,366.560022370143,pneumonite,debolezza,C0032285,C3714552
415.75,203.501637995046,spasmo,frusemide,C0037763,C0016860
343,111.136552642834,torcicollo,eritromicina,C0040485,C0014806
1188,163.871901191144,dermatite,allergia,C0011603,C0020517
293.75,239.989409488558,sulfadiazina argentica,chetamina,C0947651,C0022614
751.75,597.919936111851,arteriosclerosi,ischemia,C0003850,C0022116
309.5,112.751940116346,emocromatosi,poliuria,C0018995,C0032617
573.25,409.102574749496,metatarsalgia,odontalgia,C0025587,C0040460
977,275.568503280037,disidratazione,inedia,C0011175,C0038187
163,83.1544747242544,colite,epilessia,C0009319,C0014544
1031.5,542.721844041679,diabete,polidipsia,C0011847,C0085602
1225.25,175.663266886772,chetonuria,inedia,C0162275,C0038187
911,451.006282291795,attacchi,acido valproico,C0036572,C0042291
173,113.871272350258,gonorrea,clopidogrel,C0018081,C0070166
893,450.677268119882,multivitamine,vitamina b1,C0301532,C0039840
904.75,490.553683776472,ipotiroidismo,debolezza,C0020676,C3714552
1307,169.298552858552,talassemia,emoglobinopatie,C0039730,C0019045
670.75,358.393057038405,reticolocitosi,aspirina,C0206160,C0004057
340.5,149.767597741746,micosi,carboplatino,C0026946,C0079083
975.5,266.463881229708,micosi,meningite,C0026946,C0025289
901.75,497.016012485178,pallore,gluconato ferroso,C0030232,C0060277
1090,139.128238207298,maculopapule,macula,C0332566,C0332573
644,390.67036403256,pirosi,ibuprofene,C0018834,C0020740
187.5,139.304223434419,aloe vera,idrocodone,C0995182,C0020264
830.75,432.570899776364,codeina,d-metorfano,C0009214,C0011816
256.25,247.61579782666,acetilcisteina,adenosina,C0001047,C0001443
856,270.367650924933,sodio cromoglicato,prednisolone,C0086073,C0032950
665.75,418.103954378175,spasmo,opistotono,C0037763,C0151818
508.75,336.388044773691,diarrea,cefacloro,C0011991,C0007537
1086.5,65.0461374717977,ceftazidima,ceftriaxone,C0007559,C0007561
996.75,349.955592420905,dolore,morfina,C0030193,C0026549
484.25,189.431385995035,nalossone,fentanil,C0027358,C0015846
363.5,158.888850038845,vasculiti,emiplegia,C0042384,C0018991
1098.75,81.3075437254543,colchicina,probenecid,C0009262,C0033209
1243.5,52.6972485050216,losartan,valsartan,C0126174,C0216784
727.5,347.245830308539,cirrosi,anemia,C1623038,C0002871
648.25,367.897064407967,cefepime,estetica,C0055003,C0004899
721.5,499.248435150277,vaiolo,vaccinia,C0037354,C0042214
145.5,102.321389096643,inedia,dolore intermestruale,C0038187,C0152149
957.75,104.863005869563,Fotosensibilizzazione,dermatite,C0349506,C0011603
472,327.70820353886,desametasone,actonel,C0011777,C0246719
880.25,343.275763781832,epatite,paracetamolo,C0019158,C0000970
468.75,490.078480109734,ischemia,sbavare,C0022116,C0013132
179.75,127.256630475587,ernia,otalgia,C0019270,C0013456
394,464.496142789869,gozzo,sclerodermia,C0018021,C0011644
840.25,414.476678073286,atassia,etanolo,C0004134,C0001962
1136.75,104.777144454313,zoonosi,babesiosi,C0043528,C0004576
1075.5,202.014025915694,ronchi,rantoli,C0035508,C0034642
537,354.230621676519,stanchezza,atenololo,C0849970,C0004147
936,332.358240457492,aterosclerosi,stenocardia,C0004153,C0002962
778,541.812390654428,epatite,ematemesi,C0019158,C0018926
571.5,388.822581648751,nalossone,morfina,C0027358,C0026549
794.5,410.66247292231,diarrea,colchicina,C0011991,C0009262
1103,158.198187937368,miosite,miopatia,C0027121,C0026848
242.75,33.5397773795037,bronchite,loperamide,C0006277,C0023992
615.5,508.797602195608,disuria,ciproflossacina,C0013428,C0008809
1120.25,245.0433635094,levofloxacina,moxifloxacina,C0282386,C0536495
607.5,530.86124992004,iperacusia,bleomicina,C0034880,C0005740
652.75,401.249195222454,cloramfenicolo,ceftriaxone,C0008168,C0007561
1174.5,148.767155873421,cefacloro,cefoxitina,C0007537,C0007557
430,213.780261015838,eritromicina,lidocaina,C0014806,C0023660
598,277.161805930519,ipotiroidismo,infertilità,C0020676,C0021359
971.75,185.280642989673,pantoprazolo,carbonato di calcio,C0081876,C0006681
890,342.449996349832,catatonia,letargia,C0007398,C0023380
201.75,115.851557319413,schistosomiasi,dossazosina,C0036323,C0114873
1135.5,76.4569595698565,polidipsia,poliuria,C0085602,C0032617
390.5,107.497286787466,cirrosi,atorvastatina,C1623038,C0286651
646.5,362.559880111778,stridore,russare,C0038450,C0037384
708.25,374.14647310022,atenololo,frusemide,C0004147,C0016860
744.5,427.61782002157,prostatismo,ciproflossacina,C0242453,C0008809
925.75,430.672632827611,disidratazione,dissenteria,C0011175,C0013369
1280,143.422452914458,enalapril,lisinopril,C0014025,C0065374
765.25,357.78147427352,iperemesi,carboplatino,C0235250,C0079083
427,160.688103687444,reticolocitosi,ematemesi,C0206160,C0018926
657.5,352.973558971962,uremia,ipersonnolenza,C0041948,C0751229
555.25,410.596618755359,miopatia,tremito,C0026848,C0234369
346,140.570267126445,infertilità,fibrillazione,C0021359,C0232197
891.5,336.056046912813,chetonuria,insulina,C0162275,C0021641
579.75,509.602704728563,blastomicosi,attacchi,C0005716,C0036572
383.5,157.971516419891,candidiasi,prostatorrea,C0006840,C0392071
691,231.971262587991,eparina,protamine,C0019134,C0033603
705.75,377.042327420499,cardiomiopatia,rantoli,C0878544,C0034642
355.25,303.082359543849,micosi,dolore,C0026946,C0030193
285.25,206.891879975991,proteinuria,minoxidil,C0033687,C0026196
642.25,337.407147721167,stenocardia,dispnea,C0002962,C0013404
445,269.219860584863,batteriemia,amaurosi,C0004610,C0376288
1029.5,465.894480184802,dislipidemia,atorvastatina,C0242339,C0286651
499.5,198.0345087773,uremia,emaciamento,C0041948,C0013911
295.25,68.0263429366399,osteoporosi,cardiomiopatia,C0029456,C0878544
1240.25,89.2239691263882,iperemesi,nausea,C0235250,C0027497
331,259.523923110504,parassitemia,cardialgia,C0242723,C0858529
754.75,361.710174034406,neuropatia,insulina,C0442874,C0021641
306.25,24.8914309217717,mal di mare,dita ippocratiche,C0036494,C0149651
1395,394.634852321316,gluconato ferroso,gluconato ferroso,C0060277,C0060277
279.5,205.584532492111,cardialgia,loperamide,C0858529,C0023992
923.5,447.730945993238,reumatismi,paracetamolo,C0035435,C0000970
1195.75,137.942922979035,brucellosi,zoonosi,C0006309,C0043528
1279.25,70.4337750419972,atenololo,metoprololo,C0004147,C0025859
1290.25,214.649132306655,emaciamento,cachessia,C0013911,C0006625
214.25,79.180700510499,afonia,dolore intermestruale,C0003564,C0152149
1176.75,168.867551649214,inedia,anoressia,C0038187,C0003123
207.75,133.4450573582,blefarospasmo,warfarina,C0005747,C0043031
1238,88.1589473621368,ampicillina,amoxicillina,C0002680,C0002645
270.75,143.887398104675,stenocardia,diarrea,C0002962,C0011991
658.5,327.684299288202,frusemide,mannitolo,C0016860,C0024730
551,419.160271654332,uremia,piorrea,C0041948,C0553735
739.5,467.602751631482,incontinenza,frusemide,C0021167,C0016860
969.75,549.913553812476,tromboembolia,eparina,C0040038,C0019134
243.5,188.846498511357,esoftalmo,prostatismo,C0015300,C0242453
256,186.801142037908,uremia,aspirina,C0041948,C0004057
240.25,187.572874726953,carbidopa,griseofulvin,C0006982,C0018242
203,128.065087618237,allergia,estetica,C0020517,C0004899
354.75,321.728016602015,ernia,gozzo,C0019270,C0018021
897.75,365.393281273753,disidratazione,sincope,C0011175,C0039070
1153.25,61.2773748349802,artrite,reumatismi,C0003864,C0035435
1192.75,201.675275298353,infertilità,anovulazione,C0021359,C0003128
939.25,477.557239152195,bronchite,salmeterol,C0006277,C0073992
1282.5,114.538203233681,micosi,istoplasmosi,C0026946,C0019655
652.75,286.0796800427,cataratta,diabete,C0086543,C0011847
160.75,116.762936471011,sovranutrizione,malnutrizione,C1257763,C0162429
1302.75,201.861957783035,convulsioni,epilessia,C0036572,C0014544
365.5,165.405562179753,cianosi,acido folico,C0010520,C0016410
225.25,147.861139812551,infertilità,blefarospasmo,C0021359,C0005747
1032,372.926266170674,neuropatia,diabete,C0442874,C0011847
345.5,157.618738310731,eritromicina,allopurinolo,C0014806,C0002144
981.5,457.903556075585,pirosi,pantoprazolo,C0018834,C0081876
1109.5,170.220445305492,pallore,debolezza,C0030232,C3714552
258.75,107.304473345709,iperestensione articolare,gemfibrozil,C0231451,C0017245
1158.25,157.11009939954,debolezza,paresi,C3714552,C0030552
984.75,472.082178580524,ipotiroidismo,tiroxina,C0020676,C0040165
634,330.064640133818,smorfie,emiballismo,C0239779,C0221169
928.5,452.573750895917,esoftalmo,tiroxina,C0015300,C0040165
1276.5,110.279946802067,infertilità,anovulazione,C0021359,C0003128
1287,152.876856761687,intontito,vertigine,C0012833,C0042571
806,371.319269631944,dislipidemia,stenocardia,C0242339,C0002962
422,265.636342895069,giardiasi,avitaminosi,C0017536,C0376286
167.75,109.5,attacchi,aloe vera,C0036572,C0995182
1138.75,155.958060601774,sertralina,fluossetina,C0074393,C0016365
281.75,113.317768539037,peritonitis,atassia,C0031154,C0004134
1276.5,162.563833616214,actonel,alendronato,C0246719,C0102118
201,96.6678160851204,artralgia,chiluria,C0003862,C0159075
167.75,136.314281472388,dita ippocratiche,costipazione,C0149651,C0009806
895.5,467.689711952986,clopidogrel,atorvastatina,C0070166,C0286651
394.5,382.459148145263,adrenalina,norepinefrina,C0014563,C0028351
161,115.646011604378,costipazione,diarrea,C0009806,C0011991
618.5,198.710006458323,artrite,cirrosi,C0003864,C1623038
871.25,394.601381143047,meningite,tubercolosi,C0025289,C0041296
893.25,390.355713847426,intontito,etanolo,C0012833,C0001962
263.5,211.676640184976,cataratta,nalossone,C0086543,C0027358
527.5,137.051085366005,agitazione,morfina,C0085631,C0026549
845,270.940337835965,anosmia,afonia,C0003126,C0003564
662.75,504.838835669365,sbavare,carbidopa,C0013132,C0006982
706.25,448.980604629346,cirrosi,metotressato,C1623038,C0025677
841.25,530.460413226096,glaucoma,cefalee,C0017601,C0018681
737,369.071808731038,sincope,debolezza,C0039070,C3714552
1106.5,75.1820013921772,rigurgito,pirosi,C2004489,C0018834
762.75,365.267367828006,tpa,streptochinasi,C0032143,C0038418
965,376.988947671768,azitromicina,ciproflossacina,C0052796,C0008809
458,192.057283121469,catatonia,nalossone,C0007398,C0027358
869.25,368.663690464177,artralgia,paracetamolo,C0003862,C0000970
321.25,144.377687565173,blefarospasmo,enuresi,C0005747,C0270327
632,395.752447876194,fotopsia,cefalee,C0085635,C0018681
1221.25,73.9115462337696,meningite,cefalee,C0025289,C0018681
1128.25,80.706773776018,gliburide,rosiglitazone,C0017628,C0289313
997.75,519.321592721376,aterosclerosi,cardialgia,C0004153,C0858529
738.5,467.433061161346,iperemesi,ondansetrone,C0235250,C0061851
469.75,297.63106356696,trombofilia,emottisi,C0398623,C0019079
1007.25,349.064822060316,obesità,orlistat,C0028754,C0076275
330.5,145.020688179308,glipizide,ibuprofene,C0017642,C0020740
257.75,192.383947701811,aterosclerosi,influenza,C0004153,C0021400
233.5,162.23953484483,dolore alla scapola,alitosi,C0231655,C0018520
1164.75,81.891696770796,epatomegalia,epatosplenomegalia,C0019209,C0019214
293,168.231982690569,anosmia,digossina,C0003126,C0012265
960.25,481.893746933215,meningite,vancomicina,C0025289,C0042313
764,420.671685125903,ipersonnolenza,russare,C0751229,C0037384
981.25,463.60282929824,prostatorrea,ciproflossacina,C0392071,C0008809
802.25,311.108100183843,flatulenza,alitosi,C0016204,C0018520
511.5,291.764174177251,rossore,gluconato ferroso,C0016382,C0060277
199.25,129.053929295728,dolore intermestruale,afonia,C0152149,C0003564
858.25,404.421706473165,emocromatosi,artrite,C0018995,C0003864
360.5,198.293553433624,dita ippocratiche,vitamina k,C0149651,C0042878
567.75,486.214201767081,dolore intermestruale,odontalgia,C0152149,C0040460
935.75,184.085804268915,assetato,fame,C0232471,C0020175
854.5,409.842652733949,sciatica,ibuprofene,C0036396,C0020740
1019.75,253.488165404226,bronchite,pneumonite,C0006277,C0032285
390.25,138.576994242671,candidiasi,metilprednisolone,C0006840,C0025815
706.25,441.921090241233,russare,etanolo,C0037384,C0001962
256,214.151037043173,fibrillazione,calamina,C0232197,C0357929
1045,115.905133622286,digossina,diltiazem,C0012265,C0012373
1269,88.9156904038877,alprazolam,lorazepam,C0002333,C0024002
1173,155.385542012977,epatite,cirrosi,C0019158,C1623038
836,398.345745971177,dispnea,metilprednisolone,C0013404,C0025815
194,167.282196701661,dita ippocratiche,aglio,C0149651,C0885057
384.75,157.635391542213,reumatismi,insonnia,C0035435,C0917801
883.25,433.190777833508,reumatismi,prednisolone,C0035435,C0032950
1234.75,84.1045975754794,diabete,iperglicemia,C0011847,C0020456
1106.75,570.229412897417,fibrillazione,warfarina,C0232197,C0043031
298.75,156.610716959813,emicefalea,nitroglicerina,C0877781,C0017887
1026.5,530.663421263108,tromboembolia,fibrillazione,C0040038,C0232197
936.75,504.414099062797,emottisi,warfarina,C0019079,C0043031
811.25,487.305773274508,osteoporosi,actonel,C0029456,C0246719
309.25,86.976529401136,atassia,costipazione,C0004134,C0009806
1137.25,114.901044381677,micosi,coccidiosi,C0026946,C0009187
375.25,404.873951578348,sciatica,sforzo insufficiente,C0036396,C0231236
921.25,213.070215343831,clonidina,metoprololo,C0009014,C0025859
889.5,402.446269705659,appendicite,cefazolina,C0003615,C0007546
1202.25,182.15812727774,ceftriaxone,cefoxitina,C0007561,C0007557
619.5,294.810108374866,emicefalea,paracetamolo,C0877781,C0000970
1183.5,168.834238233837,clopidogrel,warfarina,C0070166,C0043031
1255.75,151.809914037259,gastroenterite,dissenteria,C0017160,C0013369
208.25,133.207544831365,epilessia,epatomegalia,C0014544,C0019209
886.5,207.231754323511,ipoproteinemia,fame,C0020639,C0020175
815.25,432.637935615144,dispnea,salmeterol,C0013404,C0073992
305.75,55.5960130465006,omeprazolo,metformina,C0028978,C0025598
645.5,467.467289408218,cisplatino,ondansetrone,C0008838,C0061851
1387.5,187.434432980354,metilprednisolone,prednisolone,C0025815,C0032950
953.25,437.382650928604,ischemia,atorvastatina,C0022116,C0286651
246.75,114.082937666711,dolore alla scapola,nitroglicerina,C0231655,C0017887
1118.5,121.908435584527,micosi,blastomicosi,C0026946,C0005716
974,495.786916594888,nausea,ondansetrone,C0027497,C0061851
1184,186.863586607985,colestiramina,ezetimibe,C0008402,C1142985
889.75,454.573334751024,debolezza,sinvinolina,C3714552,C0074554
233.25,220.064195179498,secrezione uretrale,afonia,C0152447,C0003564
1273.5,191.501958214531,carboplatino,cisplatino,C0079083,C0008838
1034,540.575619132051,neuropatia,sifilide,C0442874,C0039128
1094.25,596.836870509857,sifilide,penicillina,C0039128,C0030842
1031.5,87.9867414254367,isosorbide,metoprololo,C0022251,C0025859
807.5,437.641024889882,nefrite,piorrea,C0027697,C0553735
680.75,302.663041461403,doxiciclina,penicillina,C0013090,C0030842
393.25,161.747488388537,uremia,ibuprofene,C0041948,C0020740
687.5,336.816963151601,rantoli,cianosi,C0034642,C0010520
338,175.567650778838,iperestensione articolare,fame,C0231451,C0020175
307.5,121.019282210178,dolore intermestruale,actonel,C0152149,C0246719
956,281.609658925258,cirrosi,emocromatosi,C1623038,C0018995
342,243.454307827978,pancreatite,cataratta,C0030305,C0086543
348.5,200.882220882453,pancreatite,maculopapule,C0030305,C0332566
962.5,445.937589056286,tromboembolia,dispnea,C0040038,C0013404
910.25,434.861951274961,epatite,epatomegalia,C0019158,C0019209
431.75,73.4727840768267,iperacusia,afonia,C0034880,C0003564
328.5,143.808900976261,trombocitopenia,pirosi,C0040034,C0018834
934.75,330.277030183249,appendicite,peritonitis,C0003615,C0031154
792.25,375.663302262367,metatarsalgia,colchicina,C0025587,C0009262
683.25,283.145869355944,bandemia,granulocitosi,C0741439,C1282609
784,166.84323979912,norepinefrina,propofol,C0028351,C0033487
1124.75,122.412894201006,reumatismi,poliartrite,C0035435,C0162323
322.5,105.683489722851,brividi,russare,C0085593,C0037384
450,304.195112825086,vaiolo dei cammelli,echinacea,C0276185,C0752270
232.75,150.404731751808,sovranutrizione,ciclosporina,C1257763,C0010592
890,261.866378139692,leucopenia,bleomicina,C0023530,C0005740
483.75,480.870304760026,tiroxina,estratto tiroideo,C0040165,C0279175
212.25,170.490224548702,aterosclerosi,secrezione uretrale,C0004153,C0152447
881.5,393.308615042522,fibrillazione,tiroxina,C0232197,C0040165
846.75,414.678489917189,trombofilia,warfarina,C0398623,C0043031
561.5,346.137256012698,emiplegia,cefalee,C0018991,C0018681
224.5,143.046612449695,aterosclerosi,odontalgia,C0004153,C0040460
967,167.763722737267,clono,spasmo,C0009024,C0037763
777.5,461.802627392555,piorrea,nefrite,C0553735,C0027697
578.25,389.660001368715,dispnea,nalossone,C0013404,C0027358
199.75,134.517347084555,brucellosi,nalossone,C0006309,C0027358
536.75,454.101585551075,meningismo,iperestesia,C0025287,C0020453
892.5,299.027869381211,talassemia,gluconato ferroso,C0039730,C0060277
785.25,348.600415949264,nitroglicerina,metoprololo,C0017887,C0025859
319.5,160.329868292426,allergia,meningismo,C0020517,C0025287
343.5,346.612656048987,iperossia,orlistat,C0242706,C0076275
206.5,142.741024236202,mal d'aria,osteoporosi,C0001882,C0029456
178.75,114.703603546997,costipazione,diltiazem,C0009806,C0012373
1151.25,120.768028329797,candidiasi,micosi,C0006840,C0026946
923.5,245.311366770206,sinvinolina,oli di pesce,C0074554,C0016157
668,378.754977965087,comatoso,anossemia,C0009421,C0003129
863,399.75742644759,stenocardia,cardialgia,C0002962,C0858529
372.5,117.81482645802,vasculiti,convulsioni,C0042384,C0036572
618.25,294.68896031805,sincope,alprazolam,C0039070,C0002333
193.75,168.468345196756,gonorrea,orlistat,C0018081,C0076275
197.25,106.537552064988,iperossia,orlistat,C0242706,C0076275
1187.5,205.757948408642,schistosomiasi,parassitemia,C0036323,C0242723
1330.75,69.4520218088238,atorvastatina,sinvinolina,C0286651,C0074554
327.5,190.298887717891,russare,pomfi,C0037384,C0221232
496.75,457.832119886755,anossemia,atassia,C0003129,C0004134
265.25,169.379996851261,comatoso,cataratta,C0009421,C0086543
309,360.433997656529,amfebutamone,amitriptilina,C0085208,C0002600
244.25,216.655448427528,anosmia,costipazione,C0003126,C0009806
413.25,98.0148798227426,cefalee,rossore,C0018681,C0016382
503.25,181.117595316781,bandemia,nausea,C0741439,C0027497
1046.5,351.809133859067,fenobarbital,acido valproico,C0031412,C0042291
337.75,94.9785063404698,bleomicina,disulfiram,C0005740,C0012772
